data,periodo,procedimentosSc,procedimentosTijucas
2023-04-01,abr/23,17283352,38583
2023-05-01,mai/23,19380317,38833
2023-06-01,jun/23,17677844,30027
2023-07-01,jul/23,17771512,47258
2023-08-01,ago/23,18892973,37005
2023-09-01,set/23,18449096,40315
2023-10-01,out/23,18354180,43208
2023-11-01,nov/23,18026304,40779
2023-12-01,dez/23,16463411,31738
2024-01-01,jan/24,17680399,36439
2024-02-01,fev/24,18488677,42082
2024-03-01,mar/24,19981634,49924
2024-04-01,abr/24,20443794,64301
2024-05-01,mai/24,20118405,63657
2024-06-01,jun/24,20177638,45897
2024-07-01,jul/24,19322605,48870
2024-08-01,ago/24,19991202,52656
2024-09-01,set/24,20048612,51542
2024-10-01,out/24,20680162,54538
2024-11-01,nov/24,19676743,46534
2024-12-01,dez/24,17288407,37561
2025-01-01,jan/25,18629161,45143
2025-02-01,fev/25,20198835,48451
2025-03-01,mar/25,20529158,49750
2025-04-01,abr/25,20754167,49189
2025-05-01,mai/25,21463058,51843
2025-06-01,jun/25,21005040,42391
2025-07-01,jul/25,22307657,46350
2025-08-01,ago/25,22290927,46867
2025-09-01,set/25,23407065,55701
2025-10-01,out/25,23438575,53632
2025-11-01,nov/25,21675011,48527
2025-12-01,dez/25,20785271,38728
2026-01-01,jan/26,20834784,44670
2026-02-01,fev/26,20879562,45849
2026-03-01,mar/26,20982899,56247
